osu-beatmap-preview (Rust) 批量渲染报告
生成时间: 2026-06-21 00:24:28
任务总数: 90    成功: 90    失败: 0
总耗时: 180007ms (180.0s)    峰值内存(单进程最大): 500.3MB
CPU 统计: 平均 103.3%    最高 141.6%    总CPU时间 190.8s

  #  MODE    LABEL                                      STATUS        TIME   PEAKMEM        SIZE       %
--------------------------------------------------------------------------------------------------------------
 74  mania   mania_4789195_ds.gif                       success     4019ms    62.8MB    1924.6KB  109.6%
 75  convert taiko_738063_convert.png                   success      257ms    54.8MB      60.3KB   85.1%
 76  convert taiko_2875069_convert.gif                  success      540ms    20.5MB     575.9KB  107.1%
 77  convert catch_4897202_convert.png                  success      897ms   131.2MB     544.4KB   94.1%
 78  convert catch_1024742_convert.gif                  success     1508ms    59.7MB    1154.1KB  118.1%
 79  convert mania_372245_convert.png                   success      445ms    95.6MB     120.1KB   87.8%
 80  convert mania_1529760_convert.gif                  success     3063ms    75.5MB      36.7KB  108.7%
 81  convert taiko_5467386_convert.gif                  success      383ms    25.1MB      55.9KB  130.5%
 82  convert taiko_260177_convert.png                   success      352ms    62.2MB      85.6KB   93.2%
 83  convert catch_260177_convert.png                   success      728ms     161MB     294.8KB   96.6%
 84  std     standard_738063_t30-40-50-60.gif           success     2750ms    72.6MB    2010.8KB  102.3%
 85  std     standard_2875069_t10-25-60.gif             success     2436ms    62.5MB      1607KB  103.3%
 86  std     standard_4897202_t45.gif                   success     2287ms    64.8MB    1998.7KB  101.1%
 87  convert mania_738063_convert_in.gif                success     4444ms    75.6MB    1739.3KB  116.7%
 88  convert catch_2875069_convert_hr.gif               success     1464ms    52.6MB       618KB  131.3%
 89  std     standard_4897202_hd-dt1.25_t20-40.gif      success     2221ms    70.7MB     977.1KB    102%
 90  convert taiko_5467386_convert_hr_t15-30.gif        success      419ms    25.1MB      78.3KB  104.4%
